time1,todaynew,total,cure,death
2020/2/20,3,3,0,0
2020/2/21,0,3,0,0
2020/2/22,20,23,0,1
2020/2/23,56,79,1,2
2020/2/24,78,157,2,3
2020/2/25,72,229,2,6
2020/2/26,94,323,2,11
2020/2/27,205,528,2,12
2020/2/28,122,650,45,17
2020/2/29,238,888,46,21
2020/3/1,240,1128,50,29
2020/3/2,566,1694,83,34
2020/3/3,342,2036,149,52
2020/3/4,466,2502,160,79
2020/3/5,642,3144,276,107
2020/3/6,783,3927,414,148
2020/3/7,753,4680,523,197
2020/3/8,1332,6012,589,233
2020/3/9,1412,7424,622,366
2020/3/10,1748,9172,724,463
2020/3/11,1121,10293,1004,631
2020/3/12,2169,12462,1045,827
2020/3/13,2923,15385,1258,1016
2020/3/14,2275,17660,1439,1266
2020/3/15,3497,21157,1966,1441
2020/3/16,3590,24747,2335,1809
2020/3/17,3233,27980,2749,2158
2020/3/18,3526,31506,2941,2503
2020/3/19,4207,35713,4025,2978
2020/3/20,5322,41035,4440,3405
2020/3/21,5986,47021,5129,4032
2020/3/22,6557,53578,6072,4825
2020/3/23,5560,59138,7024,5476
2020/3/24,4789,63927,7432,6077
2020/3/25,5249,69176,8326,6820
2020/3/26,5210,74386,9362,7503
2020/3/27,6153,80539,10361,8215
2020/3/28,5959,86498,10950,9134
2020/3/29,5974,92472,12384,10023
2020/3/30,5217,97689,13030,10779
2020/3/31,4050,101739,14626,11591
2020/4/1,4053,105792,15729,12428
2020/4/2,4782,110574,16847,13155
2020/4/3,4668,115242,18278,13915
2020/4/4,4585,119827,19758,14681
2020/4/5,4805,124632,20996,15362
2020/4/6,4316,128948,21815,15887
2020/4/7,3599,132547,22837,16523
2020/4/8,3039,135586,24392,17127
2020/4/9,3836,139422,26491,17669
2020/4/10,4204,143626,28790,18279
2020/4/11,3951,147577,30455,18849
2020/4/12,4694,152271,32534,19468
2020/4/13,4092,156363,34211,19899
2020/4/14,3153,159516,35435,20465
2020/4/15,2972,162488,37130,21067
2020/4/16,2667,165155,38092,21645
2020/4/17,3786,168941,40164,22170
2020/4/18,3493,172434,42727,22745
2020/4/19,3491,175925,44927,23227
2020/4/20,5303,178972,48877,24114
2020/4/21,2729,181228,51600,24648
2020/4/22,3370,183957,54543,25085
2020/4/23,2646,187327,57.576,25549
2020/4/24,3021,189973,60498,25969
2020/4/25,2357,192994,63120,26384
2020/4/26,2324,195351,64928,26644
2020/4/27,1739,197675,66624,26977
2020/4/28,2091,199414,68941,27359
2020/4/29,1786,201505,71252,27682
2020/4/30,2172,203291,75945,27967
2020/5/1,1965,205463,78249,28236
2020/5/2,1900,207428,79914,28710
2020/5/3,1389,209328,81654,28884
2020/5/4,1221,210717,82876,29079
2020/5/5,1075,211938,85231,29315
2020/5/6,1444,213013,93245,29684
2020/5/7,1401,214457,96276,29958
2020/5/8,1327,215858,99023,30201
2020/5/9,1083,217185,103031,30395
2020/5/10,802,218268,105186,30560
2020/5/11,744,219070,106587,30739
2020/5/12,1402,219814,109039,30911
2020/5/13,888,221216,112541,31106
2020/5/14,992,222104,115288,31368
2020/5/15,789,223096,120205,31610
2020/5/16,875,223885,122810,31763
2020/5/17,675,224760,125176,31908
2020/5/18,451,225435,127326,32007
2020/5/19,813,225886,129401,32169
2020/5/20,665,226699,132282,32330
2020/5/21,642,227364,134560,32480
2020/5/22,652,228006,136720,32616
2020/5/23,669,228658,138840,32735
2020/5/24,531,229327,140479,32785
2020/5/25,300,229858,141981,32877
2020/5/26,397,230158,144658,32955
2020/5/27,584,230555,147101,33072
2020/5/28,593,231139,150604,33142
2020/5/29,516,231732,152844,33229
2020/5/30,416,232248,155633,33340
2020/5/31,355,232664,157507,33415
2020/6/1,178,233019,158355,33475
2020/6/2,318,233197,160092,33530
2020/6/3,321,233515,160938,33601
2020/6/4,177,233836,161895,33689
2020/6/5,518,234013,163781,33774
2020/6/6,270,234531,165078,33846
2020/6/7,197,234801,165837,33899
2020/6/8,280,234998,166584,33964
2020/6/9,283,235278,168646,34043
2020/6/10,202,235561,169939,31710

